type,id,title,company,location,zone,salary,source,date_added,my_take,job_url,gmail_url,action
QUEUED,299,Responsable de Dossiers H/F,Ekko RH,Unknown,?,Not stated,Direct,2026-05-20,Too vague — scope and location and salary all unknown,Not available,https://mail.google.com/mail/u/0/#all/19e493a5a690f3b0,dismiss salary
QUEUED,323,Responsable Financier,Société Dauphinoise,Isère (38),🟢,Not stated,Indeed,2026-05-21,Likely SDH housing company — pagead title approximate; verify employer and scope,Not available,https://mail.google.com/mail/u/0/#all/19e5105187db4d96,dismiss salary
QUEUED,325,Responsable Financier,Université Grenoble Alpes,Saint-Martin-d'Hères (38),🟢,Not stated,Indeed,2026-05-21,Public sector — salary almost certainly below €65k threshold; likely skip,https://fr.indeed.com/viewjob?jk=4fa1d8c68b5bbc,,dismiss link 404
QUEUED,327,Contrôleur de gestion F/H,Forum réfugiés,France,🌐,Not stated,LinkedIn,2026-05-21,NGO/nonprofit — salary almost certainly below threshold; likely Lyon HQ,https://www.linkedin.com/jobs/view/4416589054/,,"Company logo for, Forum réfugiés.
Forum réfugiés


Contrôleur de gestion - F/H

France · 1 week ago · 49 people clicked apply

Responses managed off LinkedIn

Remote
Contract
Apply

Save
See how you compare to 49 others who clicked apply

Access exclusive applicant insights, see jobs where you have the highest chance of hearing back, and more.

Retry Premium for €0

About the job
Type de contrat : CDD - 6 mois (renouvelable)

Lieu : Siège - Villeurbanne

Package de rémunération

2257 € bruts/mois + prime métier de 238 € pour un temps plein + prime semestrielle + Valorisation de votre expérience : 75% de votre ancienneté reconnue

Avantages sociaux

Santé : Mutuelle et prévoyance (60% pris en charge)
Transport : Abonnements transports en communs remboursés à 50%
Vie quotidienne : Carte restaurant, bons cadeaux via le CSE

Qualité de vie au travail

Flexibilité horaire : Horaires fixes ou variables selon le fonctionnement du service 
Rythme personnalisé : Choisissez entre une alternance 4 jours /5 jours, 4,5 ou 5 jours/semaine en accord avec le fonctionnement de service et votre chef de service
Congés étendus : 11 jours RTT + congés légaux
Télétravail : Jusqu'à 2 jours par semaine en accord avec le fonctionnement de service et votre chef de service + droit à la déconnexion
Intégration : Parcours d'accueil personnalisé

Missions

Acteur du service de contrôle de gestion du siège, vous travaillerez en collaboration avec une équipe pluridisciplinaire et vos missions comprendront notamment :

Réaliser tous les tableaux budgétaires de son périmètre, en étroite coordination avec les équipes opérationnelles,
Réaliser tous les rendus, bilans, comptes administratifs demandés par les autorités de tutelles et les financeurs,
Réaliser un point d’avancement budgétaire mensuel consolidé à l’intention des directions et les analyses ponctuelles qui pourront être demandées,
Accompagner les opérationnels dans les opérations de justification budgétaire et d'analyse par dispositif,
Améliorer les processus et procédures permettant de fiabiliser la donnée financière, sa justification et sa conservation.

Profil Recherché

Diplômé BAC + 3 minimum en Gestion ou Finances avec des bases comptables,
Expérience de 1 an minimum en contrôle de gestion est requise,
Aisance sur les macros et TCD sur excel, les outils de BI souhaitable,
Organisé et rigoureux, travail d'équipe."
QUEUED,369,Responsable gestion administrative et financiere H/F,CNRS,Greater Grenoble,🟢,Not stated,LinkedIn,2026-05-27,Public sector research — salary risk; confirm compensation before applying,https://www.linkedin.com/jobs/view/4416881585/,,"Company logo for, CNRS.
CNRS


Responsable de la gestion administrative et financière (H/F) 

Greater Grenoble Metropolitan Area · 5 days ago · 23 people clicked apply

Promoted by hirer · Responses managed off LinkedIn

On-site
Full-time
Apply

Save
See how you compare to 23 others who clicked apply

Access exclusive applicant insights, see jobs where you have the highest chance of hearing back, and more.

Retry Premium for €0

People you can reach out to

Company alumni from Schneider Electric

Show all
About the job
📢 Le CNRS Alpes recrute son Responsable de la gestion administrative et financière (H/F)



📍 Laboratoire CERMAV campus universitaire Saint Martin d’Hères



La personne recrutée sera responsable administrative et financière. Elle pilote la gestion opérationnelle dans le domaine de la gestion financière, de la gestion des ressources humaines et de la politique contractuelle de l’établissement. Elle encadre, anime et coordonne les activités des services administratifs (finances, RH, logistique, contrats, relations avec les tutelles du laboratoire. Au sein de l’équipe de direction, elle organise et conduit la mise en œuvre de l’organisation et des orientations stratégiques arbitrées par la direction. Elle est membre de l’équipe de direction.



💼 Vos activités seront réparties autour des axes suivants :

1-Pilotage administratif

2-Responsable des pôles gestion /achats-missions/logistique/RH :



🔍 Les compétences que nous aimerions retrouver chez vous :

Cette offre est faite pour vous si vous êtes titulaire d’un BAC+3/4 en RH, finance ou administration des entreprises et que vous avez des :

- Connaissances générales du fonctionnement du CNRS, de l’enseignement supérieur et de la recherche publique

- Connaissances générales des règles financières et de la réglementation relative aux financements des contrats de recherche dans la fonction publique

- Connaissances générales des ressources humaines

- Bonnes connaissances des outils de bureautique courant (Pack office), conception de tableaux de bord et pratique d’outils associés à la gestion financière et RH, la connaissance des outils CNRS et UGA serait un plus

- Techniques de management (déléguer et évaluer l’activité et les compétences, fixer les objectifs)

- Encadrer / Animer une équipe (évaluer la charge de travail, conduire les entretiens annuels des agents, animation des réunions)

- Anglais niveau B1 à B2 apprécié (selon le cadre de référence européen pour les langues)

- Méthodologie de conduite de projet

- Réaliser des synthèses, rédiger des rapports ou des documents

- Prévenir et gérer les conflits ou situations sensibles

- Rigueur

- Capacité à travailler en autonomie

- Sens du travail en équipe

- Initiative et sens des responsabilités

- Capacité relationnelle



✅Les avantages / les petits +

-Restaurant inter universitaire sur le site avec des tarifs subventionnés

-Remboursement partiel des frais de transports à hauteur de 75% / forfait mobilité durable (entre 100 et 300 euros)

-Un site accessible en transport en commun (tram B, arrêt car région et bus) + parking privé et abri à vélo

-Horaire hebdomadaire 38h30

-Congé /RTT : 44 jours par an (proratisés à la durée du CDD)

-Politique de développement durable



Modalités de travail :

- CDD : 18 mois

- Temps complet

- Date début contrat prévue : 1er juillet 2026



👉 Pour plus d’information et postuler : https://emploi.cnrs.fr/Offres/CDD/UPR5301-ISACAL-148/Default.aspx



On attend votre candidature 😊"
QUEUED,371,RESPONSABLE ADMINSTRATIF ET COMPTABLE H/F,Groupe Antilles-Glaces,Unknown,?,Not stated,LinkedIn,2026-05-28,Accounting function at ice cream/beverages company — likely weak fit,Not available,https://mail.google.com/mail/u/0/#all/19e74dd92db172b8,"Company logo for, Groupe Antilles-Glaces.
Groupe Antilles-Glaces


RESPONSABLE ADMINSTRATIF ET COMPTABLE H/F

Salaise-sur-Sanne, Auvergne-Rhône-Alpes, France · 4 days ago · 15 people clicked apply

Responses managed off LinkedIn

Full-time
Apply

Save
See how you compare to 15 others who clicked apply

Access exclusive applicant insights, see jobs where you have the highest chance of hearing back, and more.

Retry Premium for €0

About the job
À propos de nous

Implantée en région Rhône-Alpes et dotée d’un savoir-faire d’Artisan-Glacier, les Glaces de Lyon fabriquent et commercialisent des crèmes-glacées, des sorbets plein-fruit et des jus de fruits frais. Nos recettes subliment les saveurs des ingrédients et des fruits rigoureusement sélectionnées pour offrir à chacun le plaisir de déguster des produits aux goûts authentiques et originaux, évoquant des spécialités de nos terroirs comme d’autres plus tropicales.

Notre PME, filiale du groupe Antilles-Glaces, poursuit sa stratégie de croissance et souhaite renforcer son équipe commerciale pour contribuer au développement de nos marques LA MANUFACTURE DES BELLES GLACES et CARESSE ANTILLAISE sur le marché de la GMS.

Dans le cadre d'une réorganisation, nous sommes à la recherche de notre futur Responsable administratif et comptable H/F.

Mission

Directement rattaché à la Direction, le Responsable Administratif et Comptable H/F sera garant de la cohérence et de la fiabilité des informations comptables, analytiques et financières remontées à la Direction Générale. Vous avez un rôle d’alerte et d’analyse des éléments importants.

Vous jouez un rôle essentiel dans la gestion courante de l’entreprise (contrôle de l’application des règles comptables, sociales et administratives, gestion du personnel, …).

A Ce Titre, Vos Principales Missions Seront De

 Superviser et coordonner les activités administratives et comptables et de la Société;
 Veiller au respect de la législation relative à votre domaine d’intervention, des règles comptables, des procédures Groupe, déceler les anomalies, proposer et mettre en place les actions correctives dans votre service;
 Assurer la gestion administrative du personnel, notamment l’établissement des salaires et des déclarations sociales et fiscales;
 Gérer la trésorerie, mettre à jour quotidiennement les prévisions de trésorerie et vérifier la cohérence des informations restituées;
 Suivre et contrôler la préparation des bilans et gérer la relation avec les partenaires externes ( CAC, expert comptable, …);
 Accomplir toute mission, ponctuelle ou permanente, entrant dans le cadre de vos compétences, nécessaire à la bonne marche de la société, ...

Profil

De formation supérieure (Bac+4/5) en Comptabilité/Gestion/Finance, vous disposez d'une expérience d'au moins 5 ans acquise idéalement dans un environnement PME.

Votre parcours aura permis de confirmer une maîtrise des processus comptables mais également des outils informatiques.

Votre autonomie , vos qualités d'organisation et votre adaptabilité seront des atouts déterminants pour vous épanouir sur cette fonction.

Référence de l'offre : m5uxg54ygz"
,,,,,,,,,,,,
--- UNREADABLE GMAIL ALERTS --- Open each link to review HTML email and paste any relevant JD back,,,,,,,,,,,,
id,description,source,date_added,,,,,,,,gmail_url,
334,APEC — 1 offre,APEC,2026-05-24,,,,,,,,https://mail.google.com/mail/u/0/#all/19e5d7d6c86a4caa,dismiss
338,Cadremploi — Responsable Achats,Cadremploi,2026-05-24,,,,,,,,https://mail.google.com/mail/u/0/#all/19e5f8cf530ea252,dismiss
339,Cadremploi — Contrôleur de Gestion,Cadremploi,2026-05-24,,,,,,,,https://mail.google.com/mail/u/0/#all/19e5ead551035836,dismiss
340,Cadremploi — RAF (critères modifiés),Cadremploi,2026-05-24,,,,,,,,https://mail.google.com/mail/u/0/#all/19e5d9d6ec20a8a1,"https://www.cadremploi.fr/emploi/detail_offre?alerteId=154535543011965793&disableReason=D%C3%A9sabo_Alerte_Classique_CE&een=92c5afe4abd4f07ce95566f3004a93cd&offreId=156537890875917107&provenance=alertemail_&seen=2&utm_campaign=alerte_email_classique_p12&utm_medium=email&utm_source=cadremploi

The position
The profile
The company
Administrative and Financial Manager (m/f)
Estrablin • Permanent contract • €65k - €75k
GONZALES GROUP
Administrative and Financial Manager (m/f)
Estrablin

Permanent contract

€65K - €75K

Industrial equipment

Popular

Published 12 days ago
What are the missions?
Reporting directly to Group management, you will work in a multi-company and multi-site environment.
Your work will primarily be based at headquarters, covering the scope of the six French entities, with the objective of structuring, producing, streamlining, and harmonizing the Group's administrative and financial functions.
You will manage the accounting team (one Accounting Manager and two assistants) responsible for the accounting of the French subsidiaries.
As the international subsidiaries are autonomous in their administrative and financial functions, you will play a coordinating role, without direct involvement in local operations.
Your responsibilities:
Structuring and leading the finance function;
Defining a target organization and processes adapted to the Group's challenges;
Managing and supporting the accounting team;
Strengthening internal coordination and coordination with external partners;
Production and ensuring the reliability of financial information
; Ensuring and coordinating the accounting production of French entities
; Producing reliable monthly Group reporting (target of 30 days);
Ensuring the accuracy of closings and the quality of financial data
; Management and decision support
; Providing management with a clear understanding of performance;
Deploying management indicators and monitoring tools
; Structuring reporting and analysis materials
; Taxation and treasury
; Monitoring tax matters in conjunction with external advisors;
Contributing to the optimization of cash flow and financial performance
See more
What is the ideal profile?
With a higher education degree in finance, you have proven experience in a Group, SME, and/or industrial environment, both within a company and/or consulting firm.
You have worked in a multi-company context and know how to combine production, supervision, and structuring.
Comfortable in changing environments, you are able to secure existing systems while proposing concrete improvements.
Operational English is a plus.
An affinity for industrial environments and human-sized structures is essential
. You have the ability to prioritize and deploy pragmatic action plans.
Proficiency in tools (ERP, advanced Excel, BI, reporting/consolidation) is required.
Recruitment Process : Application review + pre-qualification questionnaire; Initial meeting with the Recruitment Manager; On-site interview with Group management; Introduction to the environment and teams; Job offer. Supported Onboarding: We pay particular attention to the onboarding of our employees. Before your arrival, we stay in touch to prepare for your start date. On your first day, a structured welcome is organized with your manager. During your probationary period, several meetings are scheduled to ensure a successful integration. GROUPE GONZALES recruits, trains and supports talent.












See more
Additional information
Salary

€65k - €75k"
335,APEC — 6 offres,APEC,2026-05-25,,,,,,,,https://mail.google.com/mail/u/0/#all/19e627f7f0baca98,"https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178750841W?selectedIndex=0&page=0&xtor=EPR-41-%5Bpush_avec_compte%5D

Apec Ref: 178750841W / Company Ref: 2593507
PMEJOB
1
Permanent contract
Grenoble - 38
oqa
Published on 26/05/2026
Updated on 26/05/2026
Salary
€55,000 - €60,000 gross annual salary
Taking up the position
As soon as possible
Experience
Minimum 5 years
Job
Administrative and Financial Manager
Job Status
Private sector executive
Movement zone
No travel
Job sector
ACTIVITIES OF EMPLOYMENT PLACEMENT AGENCIES
Telework
Partial possible
Report this offer
Job description
Reporting
to the Airport Director and the Group CFO, the RAF is in charge of the economic and financial aspects of the platform, provides the economic visibility necessary for the management of the airport, ensures the defense of its financial interests, and plays an advisory role to the Airport Director.

Its main missions are as follows:
Manage the company's administrative and financial operations:
Define and implement administrative and financial management procedures;
Participate in decision-making
; Manage and optimize investments
; Optimize cash flow;
Interact with all stakeholders to implement the company's financial strategy with the Executive Committee;

Supervise all accounting and invoicing operations:
Manage the accounting team;
Ensure compliance with deadlines, procedures, and applicable standards;
Lead the closing process and manage relationships with the statutory auditors;
Guarantee the reliability of the company's accounts and the preparation of financial and accounting documents in accordance with legislation;
Supervise tax and social security declarations
; Ensure the updating and monitoring of pricing decisions;
Organize and manage debt collection;

Ensure management control and reporting:
Develop and monitor the budget;
Define and manage the production and analysis of reports for various stakeholders (management, shareholders, delegating authority, civil aviation, etc.);
Conduct prospective studies and analyses necessary for financial decision-making

; Contractual obligations:
Manage the execution of the public service delegation contract in conjunction with the Executive Committee, ensuring compliance with its obligations and the strategic choices defined by Management.
Interact with the delegating authority on the financial and legal aspects of the public service delegation contract. Provide the required financial information and participate in all meetings with financial implications.

Develop profitability analyses to validate the implementation of new projects. Also, monitor and optimize all of the company's contracts. Thus, play a key role in the development of aeronautical and non-aeronautical activities.


Desired profile
Holding a Master's degree (Bac+5) in Finance, Accounting, Auditing, or Management Control, you have at least 5 years of experience in a similar role.
Excellent Excel skills are required.
This position demands a strong understanding of accounting principles and a solid grasp of key financial mechanisms.
You are self-reliant, possess excellent interpersonal skills enabling you to adapt to diverse stakeholders, and demonstrate strong managerial abilities, analytical thinking, and the capacity to synthesize information.
Finally, your pragmatism and rigor will be essential for success in this role.
In a performance-driven environment, you will integrate seamlessly into a cohesive team thanks to your teamwork and intellectual curiosity.


Expected skills

LANGUAGES
No language expected

Interpersonal skills
No soft skills expected

Expertise
No expertise required

Business
Introducing the agency:
LTd comprises 9 specialized recruitment and temporary staffing agencies organized by area of ​​expertise: Engineering, High-End Services, and Support Functions, covering all of France and internationally. Ltd guarantees Quality and Performance, based on a rigorous recruitment process tailored to market demands.


Other offers from the company
right arrow"
341,Cadremploi — Financial Controller,Cadremploi,2026-05-25,,,,,,,,https://mail.google.com/mail/u/0/#all/19e63d35ea048635,"https://www.cadremploi.fr/emploi/detail_offre?alerteId=154530110973991630&een=92c5afe4abd4f07ce95566f3004a93cd&offreId=156538248955951995&provenance=alerte0resultat_offre&seen=2&utm_campaign=alerte_0resultat_offre_p1_D&utm_medium=email&utm_source=cadremploi

PARLYM logo
PARLYM
Active recruiter

Already viewed
Cost Controller - M/F
Marseille

Permanent contract

Accounting Firm - Audit

Apply first!

Published 10 days ago
What are the missions?
Purpose of the position :
By joining the team, you will assume the role of Cost Controller (M/F
) . Your responsibilities
: In concrete terms, your daily role will be to:

- Ensure monthly closings by reporting actual expenses and commitments
- Establish forecast receiving profiles at each closing
- Establish and monitor the allocation of team costs at each monthly closing
- Define and implement approved actions with the relevant departments (Purchasing, Accounting, etc.)
- Ensure financial closing
- Maintain and develop the necessary cost control tools
- Contribute to budget preparation
- Implement and develop the necessary reporting
- Contribute to the capitalization of expenses with the management control team

What is the ideal profile?
Ideal Candidate Profile :
This job is definitely for you if you:

- Enjoy large-scale projects
- Hold a Master's degree ( Bac +5) in Management Control or Finance
- Have initial experience in an industrial sector
- Have an aptitude for SAP, SAGE, PBI, Excel, MS Project, or Primavera tools

Additional information
Salary

Salary based on experience"
343,Cadremploi — RAF (1 offre),Cadremploi,2026-05-25,,,,,,,,https://mail.google.com/mail/u/0/#all/19e63bb15596adfa,"https://www.cadremploi.fr/emploi/detail_offre?alerteId=154535543011965793&een=92c5afe4abd4f07ce95566f3004a93cd&offreId=156537890875917107&provenance=alerterefresh20&seen=4&utm_campaign=alerte_refresh20_p12P&utm_medium=email&utm_source=cadremploi

GONZALES GROUP
Already viewed
Administrative and Financial Manager (m/f)
Estrablin

Permanent contract

€65K - €75K

Industrial equipment

Popular

Published 12 days ago
What are the missions?
Reporting directly to Group management, you will work in a multi-company and multi-site environment.
Your work will primarily be based at headquarters, covering the scope of the six French entities, with the objective of structuring, producing, streamlining, and harmonizing the Group's administrative and financial functions.
You will manage the accounting team (one Accounting Manager and two assistants) responsible for the accounting of the French subsidiaries.
As the international subsidiaries are autonomous in their administrative and financial functions, you will play a coordinating role, without direct involvement in local operations.
Your responsibilities:
Structuring and leading the finance function;
Defining a target organization and processes adapted to the Group's challenges;
Managing and supporting the accounting team;
Strengthening internal coordination and coordination with external partners;
Production and ensuring the reliability of financial information
; Ensuring and coordinating the accounting production of French entities
; Producing reliable monthly Group reporting (target of 30 days);
Ensuring the accuracy of closings and the quality of financial data
; Management and decision support
; Providing management with a clear understanding of performance;
Deploying management indicators and monitoring tools
; Structuring reporting and analysis materials
; Taxation and treasury
; Monitoring tax matters in conjunction with external advisors;
Contributing to the optimization of cash flow and financial performance
See more
What is the ideal profile?
With a higher education degree in finance, you have proven experience in a Group, SME, and/or industrial environment, both within a company and/or consulting firm.
You have worked in a multi-company context and know how to combine production, supervision, and structuring.
Comfortable in changing environments, you are able to secure existing systems while proposing concrete improvements.
Operational English is a plus.
An affinity for industrial environments and human-sized structures is essential
. You have the ability to prioritize and deploy pragmatic action plans.
Proficiency in tools (ERP, advanced Excel, BI, reporting/consolidation) is required.
Recruitment Process : Application review + pre-qualification questionnaire; Initial meeting with the Recruitment Manager; On-site interview with Group management; Introduction to the environment and teams; Job offer. Supported Onboarding: We pay particular attention to the onboarding of our employees. Before your arrival, we stay in touch to prepare for your start date. On your first day, a structured welcome is organized with your manager. During your probationary period, several meetings are scheduled to ensure a successful integration. GROUPE GONZALES recruits, trains and supports talent.
"
345,HelloWork — Expert-Comptable (3 offres),HelloWork,2026-05-25,,,,,,,,https://mail.google.com/mail/u/0/#all/19e6437f5f92ca3e,DISMISS CHARTERED ACCOUTNANT ROLE
342,Cadremploi — Supply Chain,Cadremploi,2026-05-26,,,,,,,,https://mail.google.com/mail/u/0/#all/19e68fb1e3213eb4,dismiss duplicate
344,Cadremploi — RAF (1 offre),Cadremploi,2026-05-26,,,,,,,,https://mail.google.com/mail/u/0/#all/19e68c589ff6d1af,dismiss duplicate
346,HelloWork — Responsable Comptable (5 offres),HelloWork,2026-05-26,,,,,,,,https://mail.google.com/mail/u/0/#all/19e69392be369aa2,dismiss salary
347,APEC — 12 offres,APEC,2026-05-27,,,,,,,,https://mail.google.com/mail/u/0/#all/19e6eb0cea6eaaf1,dismiss role mismatch
348,Cadremploi — RAF,Cadremploi,2026-05-27,,,,,,,,https://mail.google.com/mail/u/0/#all/19e6e2c13de4c2cc,dismiss duplicate
349,Cadremploi — Financial Controller / Finance Manager,Cadremploi,2026-05-27,,,,,,,,https://mail.google.com/mail/u/0/#all/19e6e1fc8ce466d5,dismiss duplicate
350,HelloWork — Responsable Comptable (4 offres — Menway),HelloWork,2026-05-27,,,,,,,,https://mail.google.com/mail/u/0/#all/19e6dd23e1a102b4,dismiss salary
351,APEC — 17 offres (29/05/2026),APEC,2026-05-28,,,,,,,,https://mail.google.com/mail/u/0/#all/19e72b0147351152,"https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178713074W?selectedIndex=0&page=0&xtor=EPR-41-%5Bpush_avec_compte%5D

Apec Ref: 178713074W
COFABRIK RH
1
Permanent contract
Grenoble - 38
oqa
Published on 18/05/2026
Updated on 28/05/2026
Salary
€60,000 - €79,000 gross annual salary
Taking up the position
01/09/2026
Experience
Minimum 7 years
Job
Logistics Manager
Job Status
Private sector executive
Movement zone
No travel
Job sector
MANUFACTURING OF TUBES, HOSES, HOLLOW PROFILES AND RELATED ACCESSORIES IN STEEL
Report this offer
Job description
Are you a field-based operational professional capable of transforming a Supply Chain into a true performance driver?

Our client is an internationally recognized industrial company specializing in the design and manufacture of ultra-high-precision metal components for demanding sectors such as medical, advanced technologies and high-tech industries.

With nearly 550 employees, this dynamic mid-sized company is continuing its organizational evolution following a period of intensive growth. It is in this context that we are recruiting a Supply Chain Manager (M/F).

Your tasks

Reporting to the Operations Department, you will take responsibility for the Supply Chain department with a clear ambition: to support the modernization and overall performance of the company's flows.

As a field manager first and foremost, you are involved in both operational execution and the transformation of practices and tools.

Your main responsibilities:

• Manage all Supply Chain operations: planning, procurement, inventory and logistics flows

• Manage teams with a strong field presence and support their skills development

• Modernize the Supply Chain through innovative tools and more agile practices

• Analyze and challenge data to optimize operational performance

• Leading transformation and continuous improvement projects

• Optimize costs, lead times, service quality and flow efficiency

• Work collaboratively across production, purchasing, quality, and support teams

 


Desired profile
Your profile

Holding a Master's degree in Supply Chain Management, you have worked in various industrial environments. You have at least 5 years of experience managing teams in operational Supply Chain roles.

Experience in supporting change and organizational transformation is appreciated.

Professional English required

The advantages of the position

A strategic role with a high degree of autonomy (fixed-rate contract executive)

A stimulating and evolving technical industrial environment

Concrete modernization and digitalization projects

 

Because a good candidate speaks in terms of impact, please include results and KPIs in your CV.


Expected skills

LANGUAGES
English

Interpersonal skills
Ambition

Autonomy

See more

Expertise
Change management support

Purchases

See more

Business
CofabrikRH offers an alternative to  traditional recruitment agencies by combining human resources consulting and recruitment services. Based in Grenoble and Lyon, we offer positions throughout France.


Other offers from the company
right arrow

Recruitment contact person:
Sandrine RAJAONA - Recruitment Consultant"
352,Cadremploi — DAF / RAF / Chef Comptable,Cadremploi,2026-05-28,,,,,,,,https://mail.google.com/mail/u/0/#all/19e749bb0997857b,already applied
