ID,Job Title,Company,Source,Date Added,Missing Info,Notes,Gmail Link,Job URL
302,Not available,Not disclosed,Cadremploi,2026-05-18,Full JD,UNREADABLE: Cadremploi HTML-only — 3 offres critères élargis — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3aa0357261dbc,Not available
301,Not available,Not disclosed,Cadremploi,2026-05-18,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3b9a0efebbaba,Not available
300,Not available,Not disclosed,Cadremploi,2026-05-18,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3beeda7504455,Not available
306,Not disclosed,Not disclosed,APEC,2026-05-19,Full JD,UNREADABLE: APEC: 18 offres — 18 offres Apec du 19/05/2026 — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3eefc4612218c,Not available
305,Not disclosed,Not disclosed,Cadremploi,2026-05-19,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3f497d9ec1fa2,Not available
304,Not disclosed,Not disclosed,Cadremploi,2026-05-19,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e3fc6b8df71c61,Not available
311,Not disclosed,Not disclosed,APEC,2026-05-20,Full JD,UNREADABLE: APEC: 12 offres — 12 offres Apec du 20/05/2026 — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4426e02d83f19,Not available
310,Not disclosed,Not disclosed,Cadremploi,2026-05-20,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e44afd7a32806e,Not available
309,Not disclosed,Not disclosed,Cadremploi,2026-05-20,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e44ee0ef7f3b52,Not available
307,Not disclosed,Kforce,Direct,2026-05-20,Full JD,UNREADABLE: Direct recruiter outreach (Kforce US) — open Gmail to review — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e45db21c4b14bf,Not available
308,Not disclosed,Not disclosed,Cadremploi,2026-05-20,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4602b8e4ef8d0,Not available
315,Not disclosed,Not disclosed,Cadremploi,2026-05-21,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e48f13d0cfe05a,Not available
312,Not disclosed,Not disclosed,APEC,2026-05-21,Full JD,UNREADABLE: APEC: 3 offres — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e497948759c69c,Not available
314,Not disclosed,Not disclosed,Cadremploi,2026-05-21,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e49b19e9914cb1,Not available
313,Not disclosed,Not disclosed,Cadremploi,2026-05-21,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4a139851950fe,Not available
321,Comptable Général,Not disclosed,Direct,2026-05-22,Full JD,UNREADABLE: HelloWork HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4e2b38270de0e,Not available
320,Not disclosed,Not disclosed,APEC,2026-05-22,Full JD,UNREADABLE: APEC: 12 offres — Finance — HTML-only — check apec.fr manually — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4e7c11da88891,Not available
319,Credit Manager,Not disclosed,Cadremploi,2026-05-22,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4f3a6797f7a2f,Not available
318,Supply Chain Manager,Not disclosed,Cadremploi,2026-05-22,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4f3c360f3c2f3,Not available
317,Controleur de Gestion - Comptable,Not disclosed,Direct,2026-05-22,Full JD,UNREADABLE: HelloWork HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e4fa0174bce4f0,Not available
316,Credit Manager,Not disclosed,Cadremploi,2026-05-22,Full JD,UNREADABLE: Cadremploi HTML-only — open Gmail link to review and paste JD — open Gmail link to review and paste JD,https://mail.google.com/mail/u/0/#all/19e5014d72adb514,Not available
327,Contrôleur de gestion - F/H,Forum réfugiés,LinkedIn,2026-05-22,Location; Salary; Hybrid policy; Full JD,"QUEUED: Forum réfugiés — Contrôleur de gestion — location unconfirmed (likely Lyon HQ, verify remote option)",https://mail.google.com/mail/u/0/#all/19e506318d9a2ed5,https://www.linkedin.com/jobs/view/4416589054/
325,Responsable Financier,Université Grenoble Alpes,Indeed,2026-05-22,Salary; Hybrid policy; Full JD,"QUEUED: Université Grenoble Alpes — public sector, salary likely below threshold — verify contractual basis and compensation before applying",https://mail.google.com/mail/u/0/#all/19e5105187db4d96,https://fr.indeed.com/viewjob?jk=4fa1d8c68b5bbc
